iter	Passed	Remaining
0	0	41
1	0	37
2	1	34
3	1	30
4	1	29
5	1	29
6	2	28
7	2	27
8	2	27
9	2	26
10	3	30
11	4	30
12	4	29
13	4	28
14	4	28
15	5	27
16	5	27
17	5	26
18	6	25
19	6	25
20	6	24
21	6	24
22	7	23
23	7	23
24	7	22
25	7	22
26	8	22
27	8	22
28	8	21
29	9	21
30	9	21
31	9	20
32	10	20
33	10	20
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	12	18
40	12	17
41	12	17
42	12	16
43	13	16
44	13	16
45	13	16
46	13	15
47	14	15
48	14	15
49	14	14
50	15	14
51	15	14
52	15	13
53	15	13
54	16	13
55	16	12
56	16	12
57	16	12
58	17	11
59	17	11
60	17	11
61	17	10
62	18	10
63	18	10
64	18	10
65	18	9
66	19	9
67	19	9
68	19	8
69	19	8
70	20	8
71	20	7
72	20	7
73	21	7
74	21	7
75	21	6
76	21	6
77	22	6
78	22	6
79	22	5
80	23	5
81	23	5
82	23	4
83	24	4
84	24	4
85	24	4
86	24	3
87	25	3
88	25	3
89	25	2
90	26	2
91	26	2
92	26	1
93	26	1
94	27	1
95	27	1
96	27	0
97	27	0
98	28	0
99	28	0
